,True_Values,Mean_Prediction,Std_Prediction
724,0,0.079276139610447,0.06129588607918621
8984,0,0.16610107399523258,0.08082376509813805
8307,0,0.5404474732279777,0.04094072351691091
566,0,0.2902019266784191,0.09217709735053638
6347,0,0.5477293413877488,0.05523632071080232
9076,0,0.18831837594509124,0.08660206290395048
1864,1,0.8050402426719665,0.07755830736834071
9724,0,0.6690019834041595,0.06018998891950963
2805,0,0.21807739900425077,0.1321143500026129
5,0,0.16596860587596893,0.08806614546085771
5843,0,0.5381917548179627,0.06715673433683393
5863,0,0.5080802178382874,0.0619614722798973
9593,1,0.7802030527591706,0.06962578373935667
8546,0,0.27476438879966736,0.0882295965772506
6120,0,0.5405077230930329,0.03709716921780531
9235,0,0.6559902185201645,0.04459547637328174
9922,0,0.4725658644735813,0.07987754712804343
8852,0,0.16334908552467822,0.08489194340227962
7389,0,0.12138887107372284,0.06793289250180545
6107,0,0.6635699957609177,0.03811771250327127
8898,0,0.3901429373770952,0.1304551326274944
7321,0,0.3165939900279045,0.09307428771276202
5404,0,0.5737102034687996,0.045476827539146523
8104,0,0.5765261793136597,0.04785455732155114
1484,0,0.653184666633606,0.039433628826983966
7370,0,0.6574038237333297,0.05518229498394279
4191,0,0.5503293013572693,0.0830120104392117
5152,0,0.6025613656640053,0.04771640731011405
11089,0,0.8469270998239518,0.07277877953667557
8741,0,0.18049044862389566,0.07803817610258096
1438,0,0.5235152730345726,0.03433258532673223
4314,1,0.46399778008461,0.06133599936894456
10435,0,0.7593150472640992,0.061659384773641183
8044,0,0.15395147232338785,0.10017403986748516
6102,0,0.6276282042264938,0.04069932451804856
8136,0,0.49978713274002073,0.049220275508036725
1746,0,0.6016418546438217,0.03841157768808007
7854,0,0.5830051711201668,0.0464019956922216
303,0,0.6576057082414627,0.04861204595769945
8665,1,0.3551758433878422,0.12145228443381101
8125,0,0.11570572580210864,0.06833474198877393
2066,1,0.8287260729074478,0.07357720871574015
7154,0,0.7686346167325974,0.05985041004038657
135,0,0.27611983589828015,0.11773599945726901
605,0,0.328716182410717,0.10475736063050116
1167,1,0.6866517060995102,0.07147512078307083
4861,1,0.5687108832597733,0.04730152673992679
6308,0,0.6942414051294327,0.044406214409701966
8820,0,0.13530029092915355,0.07206512936208312
2792,0,0.5052345940470695,0.035125620117312975
384,0,0.7262005978822708,0.0581329473762344
7581,0,0.3352667471766472,0.09225320374370555
3970,0,0.5996039754152298,0.05026704284269478
10373,0,0.7769832491874695,0.05109288587074246
10923,0,0.7926215136051178,0.06614450019248246
4110,0,0.35578452102839947,0.11375947272630985
6150,0,0.5719790682196617,0.035001700773351505
3750,1,0.840713455080986,0.07780970078867032
5206,0,0.5499574068188667,0.12773189916716787
9387,0,0.33801097884774206,0.10330857737860563
4664,0,0.29051510952413084,0.10870975648078762
7691,0,0.6135716539621353,0.0324762607081701
857,0,0.8450954860448837,0.07508739241483901
7804,0,0.07215571420267225,0.05927502695783507
409,0,0.18098240569233895,0.08815472336946614
10716,0,0.7715246522426605,0.05658476234899007
5337,0,0.5156546679139137,0.03500896349255377
5124,1,0.6194648867845536,0.05290553663498255
10686,0,0.7340767550468444,0.061379918018773676
1954,1,0.8325741446018219,0.07201966311101272
6375,0,0.5467804992198944,0.041609620499412636
2201,0,0.608759977221489,0.039609350624836295
6926,0,0.464460908472538,0.05126346090901469
10690,0,0.8394850373268128,0.06333452693660518
9948,0,0.5900613820552826,0.06530544343839523
3848,0,0.6509604367613793,0.07958539456024809
1073,0,0.7443188518285752,0.08387368563062396
949,0,0.6261355113983155,0.042410093837933024
1427,0,0.6102375230193138,0.05831302987615906
4286,0,0.3528750292211771,0.11732635564742304
1488,0,0.8136790919303895,0.08291455130112856
4841,0,0.5282753929495811,0.04562821018412738
4016,0,0.2724785882979631,0.09937077783106332
3315,0,0.15815801536664367,0.08033602461337071
4595,0,0.6198344999551773,0.044750491081184396
2584,0,0.06548612596932799,0.0522623592884277
2305,0,0.47326551347970963,0.04811115900460584
2866,0,0.18989024290814996,0.0867233984007329
5194,1,0.6064465206861496,0.04916824680287536
786,0,0.241769390553236,0.09309799620920119
7329,0,0.47419468969106676,0.04491768484899133
2366,0,0.46061399072408676,0.04997202844842839
2345,0,0.5166872629523277,0.03985202316862826
9856,0,0.5836509943008423,0.07170522268412513
8842,0,0.10234427670016885,0.06031074499094016
7072,0,0.7361210960149766,0.05782496677729369
5514,0,0.5771283140778541,0.039495947103126774
1827,0,0.06820145991398022,0.04792876718869742
9685,0,0.7630207234621048,0.07078174685008826
33,1,0.6436664056777954,0.04044668865116887
8980,0,0.21066743271425367,0.0836059923365943
5371,0,0.5340503951907158,0.030114159863623563
10261,1,0.7903606116771698,0.0632006608201509
697,0,0.30583947390317917,0.08077753283383486
9341,0,0.47659411408007146,0.12392793976804593
4245,0,0.8208250498771668,0.08720523766872172
3325,0,0.3722432719171047,0.09809033531266778
4075,1,0.3667580285668373,0.06650512001268911
885,0,0.6215408658981323,0.04485702840523693
1346,0,0.4632221785187721,0.08920002996725952
7215,0,0.584125642478466,0.07202896310439935
6183,0,0.5002218645811081,0.04863137016439374
9784,1,0.560099533200264,0.0806869197599896
2367,0,0.4151834908127785,0.062249794768310066
4142,0,0.6442910295724869,0.04221494829585329
7844,0,0.28029188320040704,0.10750181575482251
3690,1,0.7568846297264099,0.07942909585866244
552,0,0.22746234305202961,0.09564545221577056
7711,0,0.43899510949850085,0.16590557073493145
1340,1,0.5975483986735344,0.057227713882323936
634,0,0.27625986114144324,0.10904122437588663
2763,0,0.13767781690694392,0.08543951770781114
8077,0,0.7354685544967652,0.0562595091230482
7958,1,0.6770862030982971,0.04555343744365067
9529,1,0.8079748749732971,0.06692976779282994
6272,0,0.5282778459787368,0.039743220533646074
6215,1,0.425857519954443,0.0775848398123121
8178,0,0.61255062520504,0.04616594405393782
936,0,0.3512129053473473,0.08633923560907165
6940,0,0.6926298391819,0.05397450156339699
5029,0,0.6651610320806504,0.04331623981622178
648,0,0.7359336751699448,0.06149282329806176
5258,0,0.624694522023201,0.10187401513241626
3852,0,0.16728340152651072,0.10367067853202767
8502,0,0.2382341504842043,0.08838558868679934
577,0,0.20837551452219485,0.08992840142134678
4965,0,0.5393514052033425,0.06237856771164689
4102,1,0.6353712233901024,0.05970736812251281
377,0,0.19092334773391484,0.09445617298451281
4857,0,0.5296450284123421,0.027964005196500424
1356,0,0.5671894079446793,0.03565931009147561
8836,0,0.1282259596325457,0.09066966006485011
3418,0,0.3069230381399393,0.07406575137455793
6730,0,0.6093552041053772,0.05245939456136285
8282,0,0.5015138980746269,0.038713787219920394
6212,0,0.5394106841087342,0.06532401901787555
3583,0,0.47009353786706926,0.06734550381839809
8661,1,0.1997453610226512,0.07738945070406318
7535,1,0.6246622568368911,0.03946697733934915
441,0,0.2805780336260796,0.07672244054446846
3069,1,0.421713185608387,0.062298856187500966
8290,0,0.5246806666254997,0.03693685845106689
8548,0,0.23783246118575335,0.09362418816750404
6824,1,0.5435338351130485,0.04464913718350036
1404,0,0.8538587015867233,0.07485582851317821
3165,0,0.17831697780638933,0.08548956148922922
10969,1,0.809552531838417,0.057329739875916025
3733,0,0.3570674665272236,0.09540340142068066
2911,0,0.3827850079536438,0.10162944378163469
4184,0,0.5601291251182556,0.05223530157064847
7064,0,0.6589290302991867,0.046105136508566694
2294,0,0.6013035923242569,0.061187621723619814
5434,0,0.5826959764957428,0.04104206961698116
4295,0,0.5068884828686714,0.07606405583730706
9977,1,0.731325911283493,0.07062849213514046
3748,0,0.6670189327001572,0.06997902906690012
8738,0,0.09673764730803669,0.07915558732617281
10816,0,0.7891188448667527,0.0677080395156928
826,1,0.3371338929235935,0.112517132692189
3380,0,0.11519409427419305,0.07578898428251606
660,0,0.7367908680438995,0.06928474164852044
9858,1,0.530534762442112,0.0909568221691633
4558,0,0.408223792463541,0.09096080431843213
9071,0,0.25802338048815726,0.0904673999269934
3136,0,0.34509300589561465,0.07768768048762742
6211,1,0.6055016553401947,0.04838850250198564
9089,0,0.3087019556760788,0.1120710656763733
1308,1,0.6052674758434295,0.03736823848498238
10633,0,0.8230079746246338,0.0713994511398013
3787,0,0.647452118396759,0.05727255810920505
8354,0,0.0771718795504421,0.06213327290531508
8856,0,0.3578993973135948,0.07243815762057665
3232,0,0.09895212684758008,0.0699364988903316
1481,0,0.43827830120921135,0.08156779043738648
590,0,0.5970942682027817,0.04034220025297471
6303,1,0.4896682789921761,0.0565667757078957
9589,0,0.7965534776449203,0.07066014337377095
535,1,0.4254866687953472,0.09531311371465688
5077,1,0.5388562279939652,0.030217872268274767
2611,0,0.16256910387426615,0.08006482205420302
8964,0,0.08845665105152875,0.05911731310553172
5499,0,0.5675801831483841,0.051087648775450085
6528,1,0.42278774321079254,0.08337245603607985
674,0,0.24653283521533012,0.08418077881604567
4638,1,0.3285906718671322,0.11651977600477664
1461,0,0.6392792016267776,0.04049819803573478
9174,0,0.13615757202729584,0.08426241880742659
9613,0,0.6565983068943023,0.05588010995970098
5083,0,0.42125284515321254,0.10970698425771858
6735,0,0.5023746255040169,0.048339853825674545
10391,0,0.7793160319328308,0.05620608041646557
9761,0,0.4341884271800518,0.08986282022573416
726,0,0.5407789701223373,0.045677274448854735
7013,0,0.5684867024421691,0.03314927284795345
4238,0,0.6207154300808907,0.06550477552076557
3798,0,0.4187431716918945,0.09522235661330691
9778,0,0.5020656895637512,0.08438271318516818
3128,0,0.34804255902767184,0.12288159519091149
7268,1,0.7795009636878967,0.06065594560939277
137,0,0.38403774812817576,0.10534806411162127
